gamma,tpr_reject_insufficient,fpr_reject_sufficient,youden_j,reject_rate
0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0
0.19,0.0034,0.0,0.0034,0.0022
0.2,0.0034,0.0,0.0034,0.0022
0.21,0.0137,0.0,0.0137,0.0086
0.22,0.0171,0.0,0.0171,0.0108
0.23,0.0171,0.0,0.0171,0.0108
0.24,0.0274,0.0,0.0274,0.0173
0.25,0.0411,0.0,0.0411,0.0259
0.26,0.0479,0.0117,0.0362,0.0346
0.27,0.0651,0.0175,0.0475,0.0475
0.28,0.0753,0.0175,0.0578,0.054
0.29,0.089,0.0351,0.054,0.0691
0.3,0.0959,0.0351,0.0608,0.0734
0.31,0.1096,0.0351,0.0745,0.0821
0.32,0.1267,0.0409,0.0858,0.095
0.33,0.137,0.0468,0.0902,0.1037
0.34,0.1541,0.0526,0.1015,0.1166
0.35,0.1747,0.0526,0.122,0.1296
0.36,0.1849,0.0526,0.1323,0.1361
0.37,0.1918,0.0526,0.1391,0.1404
0.38,0.2021,0.0526,0.1494,0.1469
0.39,0.2158,0.0585,0.1573,0.1577
0.4,0.2363,0.0585,0.1778,0.1706
0.41,0.2466,0.0585,0.1881,0.1771
0.42,0.2603,0.0702,0.1901,0.1901
0.43,0.2774,0.0702,0.2072,0.2009
0.44,0.2979,0.076,0.2219,0.216
0.45,0.3253,0.0819,0.2435,0.2354
0.46,0.3699,0.0994,0.2704,0.27
0.47,0.4075,0.1053,0.3023,0.2959
0.48,0.4349,0.117,0.318,0.3175
0.49,0.4795,0.1228,0.3566,0.3477
0.5,0.5068,0.1228,0.384,0.365
0.51,0.5342,0.1404,0.3939,0.3888
0.52,0.5582,0.1637,0.3945,0.4125
0.53,0.589,0.1754,0.4136,0.4363
0.54,0.6438,0.2047,0.4392,0.4816
0.55,0.6952,0.2398,0.4554,0.527
0.56,0.7329,0.2807,0.4522,0.5659
0.57,0.7705,0.3333,0.4372,0.6091
0.58,0.8219,0.386,0.436,0.6609
0.59,0.8459,0.4211,0.4248,0.689
0.6,0.8767,0.4912,0.3855,0.7343
0.61,0.8836,0.5439,0.3397,0.7581
0.62,0.911,0.5965,0.3145,0.7948
0.63,0.9281,0.6199,0.3082,0.8143
0.64,0.9315,0.6842,0.2473,0.8402
0.65,0.9418,0.7368,0.2049,0.8661
0.66,0.9521,0.8129,0.1392,0.9006
0.67,0.9658,0.8596,0.1061,0.9266
0.68,0.9795,0.8889,0.0906,0.946
0.69,0.9829,0.9064,0.0764,0.9546
0.7,0.9863,0.924,0.0623,0.9633
0.71,0.9897,0.9357,0.0541,0.9698
0.72,0.9966,0.9532,0.0434,0.9806
0.73,0.9966,0.9766,0.02,0.9892
0.74,0.9966,0.9825,0.0141,0.9914
0.75,0.9966,0.9883,0.0083,0.9935
0.76,1.0,0.9883,0.0117,0.9957
0.77,1.0,0.9883,0.0117,0.9957
0.78,1.0,0.9883,0.0117,0.9957
0.79,1.0,0.9883,0.0117,0.9957
0.8,1.0,0.9883,0.0117,0.9957
0.81,1.0,0.9883,0.0117,0.9957
0.82,1.0,0.9942,0.0058,0.9978
0.83,1.0,0.9942,0.0058,0.9978
0.84,1.0,1.0,0.0,1.0
0.85,1.0,1.0,0.0,1.0
0.86,1.0,1.0,0.0,1.0
0.87,1.0,1.0,0.0,1.0
0.88,1.0,1.0,0.0,1.0
0.89,1.0,1.0,0.0,1.0
0.9,1.0,1.0,0.0,1.0
