arm,quantity,recomputed,record
FreshCache,N,21848,21848
FreshCache,search_calls,8613,8613
FreshCache,search_saved_pct,60.5776,60.5776
FreshCache,l1_hits,806,806
FreshCache,l2_hits,12429,12429
FreshCache,fetches,7791,8076
FreshCache,fetches_per_1k,356.6,369.64
FreshCache,generations,21042,21042
FreshCache,generations_per_1k,963.11,963.11
FreshCache,tier:miss,8363,
FreshCache,tier:L2,12429,
FreshCache,tier:REAL_TIME,250,
FreshCache,tier:L1,806,
L2Verify_g0.55,N,21848,21848
L2Verify_g0.55,search_calls,13932,13932
L2Verify_g0.55,search_saved_pct,36.2321,36.2321
L2Verify_g0.55,l1_hits,806,806
L2Verify_g0.55,l2_hits,7110,7110
L2Verify_g0.55,fetches,8311,8596
L2Verify_g0.55,fetches_per_1k,380.4,393.45
L2Verify_g0.55,generations,21042,21042
L2Verify_g0.55,generations_per_1k,963.11,963.11
L2Verify_g0.55,tier:miss,7421,
L2Verify_g0.55,tier:L2,7110,
L2Verify_g0.55,tier:miss_rejected,6261,
L2Verify_g0.55,tier:REAL_TIME,250,
L2Verify_g0.55,tier:L1,806,
L2Verify_g0.55,verdict:ACCEPT,6832,6832
L2Verify_g0.55,verdict:REJECT,6261,6261
L2Verify_g0.55,verdict:ACCEPT_UNSCORED,278,278
FC->LV,L1->L1,806,
FC->LV,L2->L2,6749,
FC->LV,L2->miss,146,
FC->LV,L2->miss_rejected,5534,
FC->LV,REAL_TIME->REAL_TIME,250,
FC->LV,miss->L2,361,
FC->LV,miss->miss,7275,
FC->LV,miss->miss_rejected,727,
