policy,class,n_sample,workload_count,workload_share,sample_share,weight_per_request,class_mean_ms
NoCache,TIMELESS,8,6929,0.222076,0.2,1.110381,3935.6961
NoCache,SLOW,8,8137,0.260793,0.2,1.303965,2942.586
NoCache,MEDIUM,8,7626,0.244415,0.2,1.222076,3316.0054
NoCache,FAST,8,8155,0.26137,0.2,1.306849,3001.5296
NoCache,REAL_TIME,8,354,0.011346,0.2,0.056729,3080.8976
SemanticTTL_k1_16,TIMELESS,8,6929,0.222076,0.2,1.110381,438.6508
SemanticTTL_k1_16,SLOW,8,8137,0.260793,0.2,1.303965,14.2211
SemanticTTL_k1_16,MEDIUM,8,7626,0.244415,0.2,1.222076,13.879
SemanticTTL_k1_16,FAST,8,8155,0.26137,0.2,1.306849,14.2397
SemanticTTL_k1_16,REAL_TIME,8,354,0.011346,0.2,0.056729,3035.3139
FreshCache_NoL1,TIMELESS,8,6929,0.222076,0.2,1.110381,529.8437
FreshCache_NoL1,SLOW,8,8137,0.260793,0.2,1.303965,658.4462
FreshCache_NoL1,MEDIUM,8,7626,0.244415,0.2,1.222076,768.3315
FreshCache_NoL1,FAST,8,8155,0.26137,0.2,1.306849,1310.5606
FreshCache_NoL1,REAL_TIME,8,354,0.011346,0.2,0.056729,2923.6863
FreshCache,TIMELESS,8,6929,0.222076,0.2,1.110381,357.5923
FreshCache,SLOW,8,8137,0.260793,0.2,1.303965,626.7782
FreshCache,MEDIUM,8,7626,0.244415,0.2,1.222076,1100.9709
FreshCache,FAST,8,8155,0.26137,0.2,1.306849,1314.8155
FreshCache,REAL_TIME,8,354,0.011346,0.2,0.056729,2671.9812

policy,reweighted_mean_ms,expected
NoCache,3271.3768,3271.4
FreshCache,885.935,885.9
FreshCache_NoL1,852.8883,
SemanticTTL_k1_16,142.6748,
