eps_L1,eps_L2,eps_L3,k_L1,k_L2,k_L3,val_search_saved_pct,val_drift_pct,val_coverage_pct,L1_hits,L2_hits,L3_hits,C1_drift<=3.6487,C2_L1<=285,C3_cov>=40.9436,eligible,rank_among_eligible
0.05,0.1,0.25,0.049334,0.126669,0.415037,41.9545,1.9597,40.3721,167,3757,9170,True,True,False,False,
0.05,0.1,0.35,0.049334,0.126669,0.621488,41.9545,2.5475,42.8098,167,3757,9774,True,True,True,True,9
0.05,0.1,0.45,0.049334,0.126669,0.862496,41.9545,3.078,44.8092,167,3757,10228,True,True,True,True,10
0.05,0.2,0.25,0.049334,0.268273,0.415037,56.8267,2.4691,40.7035,167,5148,9324,True,True,False,False,
0.05,0.2,0.35,0.049334,0.268273,0.621488,56.8267,3.4003,43.0771,167,5148,9906,True,True,True,True,6
0.05,0.2,0.45,0.049334,0.268273,0.862496,56.8267,4.1667,44.9054,167,5148,10307,False,True,True,False,
0.05,0.3,0.25,0.049334,0.428811,0.415037,64.5141,2.6781,41.1205,167,5867,9439,True,True,True,True,4
0.05,0.3,0.35,0.049334,0.428811,0.621488,64.5141,3.7392,43.462,167,5867,10017,False,True,True,False,
0.05,0.3,0.45,0.049334,0.428811,0.862496,64.5141,4.5196,45.1834,167,5867,10391,False,True,True,False,
0.05,0.35,0.25,0.049334,0.517907,0.415037,67.4864,2.6809,41.0777,167,6145,9411,True,True,True,True,2
0.05,0.35,0.35,0.049334,0.517907,0.621488,67.4864,3.7717,43.6544,167,6145,10043,False,True,True,False,
0.05,0.35,0.45,0.049334,0.517907,0.862496,67.4864,4.3201,45.2903,167,6145,10407,False,True,True,False,
0.1,0.1,0.25,0.101335,0.126669,0.415037,42.0828,1.9587,40.3935,285,3651,8985,True,True,False,False,
0.1,0.1,0.35,0.101335,0.126669,0.621488,42.0828,2.5475,42.8098,285,3651,9583,True,True,True,True,7
0.1,0.1,0.45,0.101335,0.126669,0.862496,42.0828,3.078,44.8092,285,3651,10038,True,True,True,True,8
0.1,0.2,0.25,0.101335,0.268273,0.415037,56.8695,2.4665,40.7463,285,5034,9151,True,True,False,False,
0.1,0.2,0.35,0.101335,0.268273,0.621488,56.8695,3.3987,43.0985,285,5034,9730,True,True,True,True,5
0.1,0.2,0.45,0.101335,0.268273,0.862496,56.8695,4.1637,44.9375,285,5034,10133,False,True,True,False,
0.1,0.3,0.25,0.101335,0.428811,0.415037,64.5354,2.6739,41.1846,285,5751,9259,True,True,True,True,3
0.1,0.3,0.35,0.101335,0.428811,0.621488,64.5354,3.7128,43.4834,285,5751,9828,False,True,True,False,
0.1,0.3,0.45,0.101335,0.428811,0.862496,64.5354,4.4917,45.2261,285,5751,10206,False,True,True,False,
0.1,0.35,0.25,0.101335,0.517907,0.415037,67.4864,2.6802,41.0884,285,6027,9228,True,True,True,True,1
0.1,0.35,0.35,0.101335,0.517907,0.621488,67.4864,3.7509,43.6117,285,6027,9849,False,True,True,False,
0.1,0.35,0.45,0.101335,0.517907,0.862496,67.4864,4.2975,45.2796,285,6027,10218,False,True,True,False,
0.15,0.1,0.25,0.15631,0.126669,0.415037,42.3714,1.9603,40.3614,385,3578,8841,True,False,False,False,
0.15,0.1,0.35,0.15631,0.126669,0.621488,42.3714,2.5481,42.7991,385,3578,9435,True,False,True,False,
0.15,0.1,0.45,0.15631,0.126669,0.862496,42.3714,3.081,44.7664,385,3578,9887,True,False,True,False,
0.15,0.2,0.25,0.15631,0.268273,0.415037,56.9015,2.4928,40.7463,385,4937,9003,True,False,False,False,
0.15,0.2,0.35,0.15631,0.268273,0.621488,56.9015,3.4218,43.1199,385,4937,9581,True,False,True,False,
0.15,0.2,0.45,0.15631,0.268273,0.862496,56.9015,4.1875,44.9375,385,4937,9983,False,False,True,False,
0.15,0.3,0.25,0.15631,0.428811,0.415037,64.5568,2.7034,41.1312,385,5653,9099,True,False,True,False,
0.15,0.3,0.35,0.15631,0.428811,0.621488,64.5568,3.7192,43.4085,385,5653,9661,False,False,True,False,
0.15,0.3,0.45,0.15631,0.428811,0.862496,64.5568,4.5002,45.1406,385,5653,10039,False,False,True,False,
0.15,0.35,0.25,0.15631,0.517907,0.415037,67.4543,2.7041,41.1205,385,5924,9071,True,False,True,False,
0.15,0.35,0.35,0.15631,0.517907,0.621488,67.4543,3.7491,43.6331,385,5924,9687,False,False,True,False,
0.15,0.35,0.45,0.15631,0.517907,0.862496,67.4543,4.2945,45.3117,385,5924,10057,False,False,True,False,
0.2,0.1,0.25,0.214619,0.126669,0.415037,42.9167,1.9566,40.4362,457,3557,8751,True,False,False,False,
0.2,0.1,0.35,0.214619,0.126669,0.621488,42.9167,2.543,42.8846,457,3557,9349,True,False,True,False,
0.2,0.1,0.45,0.214619,0.126669,0.862496,42.9167,3.0751,44.8519,457,3557,9798,True,False,True,False,
0.2,0.2,0.25,0.214619,0.268273,0.415037,56.9657,2.4627,40.8104,457,4871,8899,True,False,False,False,
0.2,0.2,0.35,0.214619,0.268273,0.621488,56.9657,3.3936,43.1626,457,4871,9475,True,False,True,False,
0.2,0.2,0.45,0.214619,0.268273,0.862496,56.9657,4.1578,45.0016,457,4871,9877,False,False,True,False,
0.2,0.3,0.25,0.214619,0.428811,0.415037,64.5782,2.6753,41.1633,457,5583,8986,True,False,True,False,
0.2,0.3,0.35,0.214619,0.428811,0.621488,64.5782,3.6909,43.4513,457,5583,9549,False,False,True,False,
0.2,0.3,0.45,0.214619,0.428811,0.862496,64.5782,4.4713,45.1941,457,5583,9926,False,False,True,False,
0.2,0.35,0.25,0.214619,0.517907,0.415037,67.4757,2.6767,41.1419,457,5854,8957,True,False,True,False,
0.2,0.35,0.35,0.214619,0.517907,0.621488,67.4757,3.7228,43.6544,457,5854,9573,False,False,True,False,
0.2,0.35,0.45,0.214619,0.517907,0.862496,67.4757,4.2689,45.333,457,5854,9941,False,False,True,False,
