unit,class,n,observable,not_observable,observable_pct
a_manifest_rows_query_x_url,TIMELESS,3071,1787,1284,58.19
a_manifest_rows_query_x_url,SLOW,4304,2457,1847,57.09
a_manifest_rows_query_x_url,MEDIUM,3956,2406,1550,60.82
a_manifest_rows_query_x_url,FAST,4692,2746,1946,58.53
a_manifest_rows_query_x_url,REAL_TIME,1328,973,355,73.27
b_unique_url_class_pairs,TIMELESS,1564,867,697,55.43
b_unique_url_class_pairs,SLOW,2176,1159,1017,53.26
b_unique_url_class_pairs,MEDIUM,1877,1034,843,55.09
b_unique_url_class_pairs,FAST,2156,1150,1006,53.34
b_unique_url_class_pairs,REAL_TIME,185,124,61,67.03
c_unique_url_single_class,TIMELESS,1552,857,695,55.22
c_unique_url_single_class,SLOW,2050,1095,955,53.41
c_unique_url_single_class,MEDIUM,1715,953,762,55.57
c_unique_url_single_class,FAST,2001,1058,943,52.87
c_unique_url_single_class,REAL_TIME,177,116,61,65.54
a_manifest_rows_query_x_url,CHI2,17351,121.5301,2.516588455396792e-25,0.0837
b_unique_url_class_pairs,CHI2,7958,15.027,0.004645494544766888,0.0435
c_unique_url_single_class,CHI2,7495,12.8947,0.01180202584270205,0.0415
